Task,Drop %,Val AUROC,Val AUPRC,ECE,Brier,Slope,Intercept,Mean Epistemic,Mean Aleatoric,Dropout Rate,MC Samples,Train N,Val N
guo_icu,0.0,0.8820374889086068,0.31445481897294597,0.01979957927290748,0.037722980982762284,4.841268927443473,-3.4747676058953565,0.004382426384836435,0.1339980959892273,0.3,30,2402,2052
guo_icu,5.0,0.8755791641316047,0.31445563660368103,0.020833029104141837,0.039696183064672534,4.756968325568852,-3.424531187262826,0.004611596930772066,0.14100556075572968,0.3,30,2402,2052
guo_icu,10.0,0.8783073418608727,0.31738298562511613,0.021453088262817385,0.04136847231212174,4.693617411661683,-3.38719027441514,0.00486844452098012,0.1488610804080963,0.3,30,2402,2052
guo_icu,15.0,0.8713209402447615,0.3196453377492724,0.022424363852231555,0.04364891855269633,4.616980425213293,-3.3304223728540054,0.005152205470949411,0.15696890652179718,0.3,30,2402,2052
guo_icu,20.0,0.8627755223499903,0.3196453377492724,0.023830165822265777,0.04638694432170626,4.5116121858386125,-3.269087418063117,0.005473491735756397,0.1667696088552475,0.3,30,2402,2052
guo_icu,25.0,0.8530371562139518,0.31964687164844413,0.0254273912582446,0.04949146262744835,4.397516320989469,-3.203138473302423,0.005835859104990959,0.17783130705356598,0.3,30,2402,2052
guo_icu,30.0,0.8420799111735219,0.3196585397092909,0.02724123879612955,0.05300442236445965,4.274811338986829,-3.1327873700022617,0.0062428927049040794,0.19025912880897522,0.3,30,2402,2052
guo_icu,35.0,0.8389246159342622,0.3224901468258372,0.02860762377053617,0.05634776994317678,4.165107317783987,-3.0714265252306214,0.006712368689477444,0.20459474623203278,0.3,30,2402,2052
guo_icu,40.0,0.8424586776859504,0.3280823342433895,0.029398978441413173,0.05939218419047571,4.086096116226222,-3.025947137132788,0.007248354610055685,0.2210119366645813,0.3,30,2402,2052
guo_icu,45.0,0.827078421098594,0.3281012959728451,0.03215591210716253,0.06481049597437219,3.9397113138274142,-2.937734076028015,0.007877972908318043,0.2402449995279312,0.3,30,2402,2052
guo_icu,50.0,0.8089867222329908,0.32817764033103,0.03551120152351116,0.07131650270780211,3.7375387184715634,-2.831201369559508,0.008615706115961075,0.2627933919429779,0.3,30,2402,2052
guo_icu,55.0,0.8059471610145973,0.33373498523061035,0.037514897381064574,0.0770311029832347,3.600456522316263,-2.754940359279832,0.009481755085289478,0.28935718536376953,0.3,30,2402,2052
guo_icu,60.0,0.7883631713554988,0.3364437524526198,0.041397021367208714,0.08548367514549575,3.3931109145167904,-2.641577810528041,0.010538630187511444,0.32191282510757446,0.3,30,2402,2052
guo_icu,65.0,0.7545370198552608,0.33648109242844565,0.0480486029931741,0.09760453808925262,3.1042061254043003,-2.4846290224966467,0.011816528625786304,0.36069732904434204,0.3,30,2402,2052
guo_icu,70.0,0.715359828141783,0.3387890962143551,0.05601374785135088,0.11234095038544908,2.783064851123042,-2.311823272874905,0.01342733483761549,0.4090659022331238,0.3,30,2402,2052
guo_icu,75.0,0.6817558299039781,0.3466366275925316,0.06528611501986198,0.1291477478862627,2.4575798319117768,-2.1347056572646914,0.015441437251865864,0.4676743149757385,0.3,30,2402,2052
guo_icu,80.85,0.64004914004914,0.36280595908428204,0.07941525934556103,0.15189843368109485,2.0595656028793017,-1.914266570192427,0.018517401069402695,0.5495423674583435,0.3,30,2402,2052
guo_icu,90.0,0.6248447204968944,0.3989464868424552,0.11438197442433388,0.17757850314872617,1.5293081009830543,-1.7198492092636626,0.02677433378994465,0.6601431965827942,0.3,30,2402,2052
guo_icu,95.0,0.641025641025641,0.3929397136214922,0.13093733081531814,0.20370131227549493,0.9959975505528081,-1.4763324966373317,0.037755828350782394,0.69820636510849,0.3,30,2402,2052
guo_los,0.0,0.7952092147632195,0.5301000723270569,0.09275963651412802,0.15787226515791067,3.2145959710290115,-2.0946161278259976,0.020484767854213715,0.41556069254875183,0.3,30,2569,2231
guo_los,5.0,0.7854852258509885,0.5285342817533328,0.09650478808310231,0.1645972511805066,3.1069300516108744,-2.032805815357116,0.021555259823799133,0.4367915987968445,0.3,30,2569,2231
guo_los,10.0,0.7724519326980804,0.5265834757948923,0.10109299356849345,0.17278243442155344,2.9801647468798085,-1.9557278672696654,0.022739645093679428,0.4606945216655731,0.3,30,2569,2231
guo_los,15.0,0.7574181460333699,0.5275673483514649,0.10607523113670937,0.18184443180957324,2.8465436983536447,-1.8711394125150065,0.024013947695493698,0.48609650135040283,0.3,30,2569,2231
guo_los,20.0,0.7434239027634557,0.5252173387760849,0.11036137947628909,0.19050309539632174,2.7183799676679983,-1.7951130813157867,0.025411909446120262,0.5133432149887085,0.3,30,2569,2231
guo_los,25.0,0.7321773882749616,0.5176307856597109,0.1132705618553958,0.19784996349266548,2.60636437613383,-1.7331185141080776,0.026905450969934464,0.5416096448898315,0.3,30,2569,2231
guo_los,30.0,0.7265545638721015,0.5284001360380701,0.11297374007373198,0.20279546974298476,2.5740023147830486,-1.7002859335847982,0.02853533998131752,0.5719935894012451,0.3,30,2569,2231
guo_los,35.0,0.7145704440610989,0.5296561109135806,0.11461613028845981,0.20982583855514703,2.4781543118565192,-1.642359117906337,0.03029329888522625,0.6038042902946472,0.3,30,2569,2231
guo_los,40.0,0.6887369949789094,0.515631370751249,0.1233991954927475,0.22162959999992404,2.248156900197698,-1.507491192822269,0.0322064645588398,0.6354369521141052,0.3,30,2569,2231
guo_los,45.0,0.6795343721039001,0.5263753768011926,0.1224356254464415,0.2263849036895602,2.205019114945744,-1.446887205425182,0.03424561396241188,0.6605767607688904,0.3,30,2569,2231
guo_los,50.0,0.6623317519858782,0.5253255101900086,0.1294051430400391,0.23446813150060258,2.031627430661381,-1.3566443293393124,0.036494769155979156,0.6851041913032532,0.3,30,2569,2231
guo_los,55.0,0.6507342330871742,0.5065034904433681,0.132813375969419,0.23876637177302207,1.9110451880403188,-1.3142892953574892,0.0389593131840229,0.7078596949577332,0.3,30,2569,2231
guo_los,60.0,0.6453737940413956,0.5149153300166607,0.12958314642437574,0.24052904079605855,1.8944623112184937,-1.2904150977816031,0.04170719161629677,0.7285892963409424,0.3,30,2569,2231
guo_los,65.0,0.6431133428981349,0.48545000573510605,0.12993217190097617,0.24075552273429512,1.850278055184062,-1.3460811372313946,0.04483286291360855,0.7422051429748535,0.3,30,2569,2231
guo_los,70.0,0.6423699548788981,0.49188536837180874,0.13157999406553422,0.24049582012507018,1.8756843939281393,-1.372929840300745,0.04834079369902611,0.7581595182418823,0.3,30,2569,2231
guo_los,75.0,0.632239010989011,0.4740264939920369,0.12711532595811703,0.2451424058567059,1.7089360091303,-1.3077825665087917,0.052459556609392166,0.7678396701812744,0.3,30,2569,2231
guo_los,80.85,0.6173959569172076,0.461952656846801,0.13031063767088608,0.24896038190814954,1.4964649889393835,-1.2027390365393724,0.05849526450037956,0.7841552495956421,0.3,30,2569,2231
guo_readmission,0.0,0.7499376068771086,0.3734251455482406,0.058867268472201854,0.1021526008332489,3.5333355074159645,-2.5028865109753955,0.01577305980026722,0.2880600690841675,0.3,30,2608,2206
guo_readmission,5.0,0.7377576305852738,0.3743039881806798,0.0614834741717231,0.10703669886257881,3.435583918654151,-2.447976717813327,0.016597310081124306,0.30308592319488525,0.3,30,2608,2206
